timestamp,elapsed_s,cpu_usec,cpu_percent,mem_bytes,mem_mb
2026-07-01T18:00:30.067036+00:00,0,2565013,0.00,17866752,17.04
2026-07-01T18:00:40.067780+00:00,10,2572606,0.08,17944576,17.11
2026-07-01T18:00:50.068621+00:00,20,2580626,0.08,17895424,17.07
2026-07-01T18:01:00.069432+00:00,30,2588639,0.08,17846272,17.02
2026-07-01T18:01:10.070173+00:00,40,2606040,0.17,18182144,17.34
2026-07-01T18:01:20.071001+00:00,50,2613636,0.08,18141184,17.30
2026-07-01T18:01:30.071767+00:00,60,2621719,0.08,17833984,17.01
2026-07-01T18:01:40.072579+00:00,70,2629208,0.07,17784832,16.96
2026-07-01T18:01:50.073384+00:00,80,2636925,0.08,18006016,17.17
2026-07-01T18:02:00.074158+00:00,90,2644818,0.08,18006016,17.17
2026-07-01T18:02:10.074962+00:00,100,2662667,0.18,18141184,17.30
2026-07-01T18:02:20.075752+00:00,110,2670466,0.08,17874944,17.05
2026-07-01T18:02:30.076547+00:00,120,2678728,0.08,18096128,17.26
2026-07-01T18:02:40.077381+00:00,130,2686566,0.08,18079744,17.24
2026-07-01T18:02:50.078138+00:00,140,2694343,0.08,18038784,17.20
2026-07-01T18:03:00.078901+00:00,150,2702879,0.09,17997824,17.16
2026-07-01T18:03:10.079680+00:00,160,2720701,0.18,18141184,17.30
2026-07-01T18:03:20.080469+00:00,170,2728485,0.08,18100224,17.26
2026-07-01T18:03:30.081265+00:00,180,2736318,0.08,18059264,17.22
2026-07-01T18:03:40.082034+00:00,190,2743962,0.08,18018304,17.18
2026-07-01T18:03:50.082840+00:00,200,2751617,0.08,17977344,17.14
2026-07-01T18:04:00.083629+00:00,210,2759273,0.08,18198528,17.36
2026-07-01T18:04:10.084435+00:00,220,2776218,0.17,18116608,17.28
2026-07-01T18:04:20.085240+00:00,230,2784074,0.08,18067456,17.23
2026-07-01T18:04:30.086015+00:00,240,2791378,0.07,18288640,17.44
2026-07-01T18:04:40.086774+00:00,250,2799051,0.08,18247680,17.40
2026-07-01T18:04:50.087560+00:00,260,2807055,0.08,17707008,16.89
2026-07-01T18:05:00.088374+00:00,270,2815157,0.08,17928192,17.10
2026-07-01T18:05:10.089152+00:00,280,2832660,0.18,18059264,17.22
