timestamp,elapsed_s,cpu_usec,cpu_percent,mem_bytes,mem_mb
2026-07-02T09:27:00.848720+00:00,0,2692945,0.00,11415552,10.89
2026-07-02T09:27:10.849467+00:00,10,2756414,0.63,11689984,11.15
2026-07-02T09:27:20.850236+00:00,20,2818764,0.62,11612160,11.07
2026-07-02T09:27:30.851116+00:00,30,2826775,0.08,11231232,10.71
2026-07-02T09:27:40.851898+00:00,40,2891758,0.65,11845632,11.30
2026-07-02T09:27:50.852675+00:00,50,2987449,0.96,11694080,11.15
2026-07-02T09:28:00.853502+00:00,60,3005286,0.18,11821056,11.27
2026-07-02T09:28:10.854302+00:00,70,3067646,0.62,11595776,11.06
2026-07-02T09:28:20.855068+00:00,80,3130740,0.63,11702272,11.16
2026-07-02T09:28:30.855885+00:00,90,3138507,0.08,11317248,10.79
2026-07-02T09:28:40.856688+00:00,100,3202381,0.64,11722752,11.18
2026-07-02T09:28:50.857509+00:00,110,3262351,0.60,11939840,11.39
2026-07-02T09:29:00.858337+00:00,120,3270612,0.08,12021760,11.46
2026-07-02T09:29:10.859093+00:00,130,3353757,0.83,11956224,11.40
2026-07-02T09:29:20.860023+00:00,140,3413387,0.60,12111872,11.55
2026-07-02T09:29:30.860818+00:00,150,3421835,0.08,12058624,11.50
2026-07-02T09:29:40.861618+00:00,160,3485642,0.64,12132352,11.57
2026-07-02T09:29:50.862448+00:00,170,3548635,0.63,11718656,11.18
2026-07-02T09:30:00.863253+00:00,180,3566432,0.18,12169216,11.61
2026-07-02T09:30:10.863766+00:00,190,3630224,0.64,11513856,10.98
2026-07-02T09:30:20.864478+00:00,200,3693887,0.64,12181504,11.62
2026-07-02T09:30:30.865297+00:00,210,3702656,0.09,12058624,11.50
2026-07-02T09:30:40.866043+00:00,220,3767343,0.65,11976704,11.42
2026-07-02T09:30:50.866844+00:00,230,3865058,0.98,12058624,11.50
2026-07-02T09:31:00.867647+00:00,240,3892319,0.27,11935744,11.38
2026-07-02T09:31:10.868506+00:00,250,3955147,0.63,12013568,11.46
2026-07-02T09:31:20.869550+00:00,260,4018809,0.64,11923456,11.37
2026-07-02T09:31:30.870352+00:00,270,4026642,0.08,12177408,11.61
2026-07-02T09:31:40.871137+00:00,280,4090825,0.64,12242944,11.68
2026-07-02T09:31:50.871976+00:00,290,4153176,0.62,11837440,11.29
2026-07-02T09:32:00.872752+00:00,300,4182893,0.30,12099584,11.54
2026-07-02T09:32:10.873604+00:00,310,4244875,0.62,12181504,11.62
2026-07-02T09:32:20.874427+00:00,320,4309973,0.65,11902976,11.35
2026-07-02T09:32:30.875240+00:00,330,4317933,0.08,12120064,11.56
2026-07-02T09:32:40.875802+00:00,340,4381260,0.63,12206080,11.64
2026-07-02T09:32:50.876533+00:00,350,4440700,0.59,11726848,11.18
2026-07-02T09:33:00.877138+00:00,360,4469093,0.28,12242944,11.68
2026-07-02T09:33:10.877865+00:00,370,4570189,1.01,12046336,11.49
2026-07-02T09:33:20.878845+00:00,380,4647856,0.78,11980800,11.43
2026-07-02T09:33:30.879742+00:00,390,4655474,0.08,12247040,11.68
2026-07-02T09:33:40.880701+00:00,400,4740141,0.85,12525568,11.95
2026-07-02T09:33:50.881639+00:00,410,4834512,0.94,12161024,11.60
2026-07-02T09:34:00.882620+00:00,420,4843345,0.09,12034048,11.48
2026-07-02T09:34:10.883501+00:00,430,4952601,1.09,12607488,12.02
2026-07-02T09:34:20.884443+00:00,440,5043612,0.91,12029952,11.47
2026-07-02T09:34:30.885467+00:00,450,5052059,0.08,12414976,11.84
2026-07-02T09:34:40.886107+00:00,460,5150084,0.98,12800000,12.21
2026-07-02T09:34:50.886795+00:00,470,5213897,0.64,12566528,11.98
2026-07-02T09:35:00.887657+00:00,480,5230387,0.16,12361728,11.79
2026-07-02T09:35:10.888518+00:00,490,5293839,0.63,12181504,11.62
2026-07-02T09:35:20.889379+00:00,500,5355800,0.62,12308480,11.74
2026-07-02T09:35:30.890227+00:00,510,5361652,0.06,12189696,11.62
2026-07-02T09:35:40.891053+00:00,520,5422747,0.61,12304384,11.73
2026-07-02T09:35:50.891943+00:00,530,5527260,1.05,12505088,11.93
2026-07-02T09:36:00.892636+00:00,540,5557017,0.30,12324864,11.75
2026-07-02T09:36:10.893539+00:00,550,5638604,0.82,12324864,11.75
2026-07-02T09:36:20.894358+00:00,560,5726926,0.88,12386304,11.81
2026-07-02T09:36:30.895141+00:00,570,5735189,0.08,12169216,11.61
2026-07-02T09:36:40.895920+00:00,580,5827429,0.92,12472320,11.89
2026-07-02T09:36:50.896727+00:00,590,5926286,0.99,12787712,12.20
2026-07-02T09:37:00.897434+00:00,600,5934314,0.08,12427264,11.85
2026-07-02T09:37:10.898169+00:00,610,6042338,1.08,12558336,11.98
2026-07-02T09:37:20.898916+00:00,620,6138348,0.96,12554240,11.97
2026-07-02T09:37:30.899694+00:00,630,6147096,0.09,12533760,11.95
2026-07-02T09:37:40.900573+00:00,640,6232591,0.85,12754944,12.16
2026-07-02T09:37:50.901464+00:00,650,6367758,1.35,12271616,11.70
2026-07-02T09:38:00.902550+00:00,660,6385561,0.18,12075008,11.52
2026-07-02T09:38:10.903454+00:00,670,6448522,0.63,12689408,12.10
2026-07-02T09:38:20.903980+00:00,680,6553991,1.05,12754944,12.16
2026-07-02T09:38:30.904404+00:00,690,6562525,0.09,12324864,11.75
2026-07-02T09:38:40.904870+00:00,700,6665654,1.03,12705792,12.12
2026-07-02T09:38:50.905572+00:00,710,6795139,1.29,12566528,11.98
2026-07-02T09:39:00.906484+00:00,720,6812320,0.17,12500992,11.92
2026-07-02T09:39:10.907353+00:00,730,6941955,1.30,12492800,11.91
2026-07-02T09:39:20.908177+00:00,740,7006479,0.65,12525568,11.95
2026-07-02T09:39:30.909044+00:00,750,7014665,0.08,12824576,12.23
2026-07-02T09:39:40.909963+00:00,760,7118268,1.04,12587008,12.00
2026-07-02T09:39:50.910906+00:00,770,7217723,0.99,12201984,11.64
