timestamp,elapsed_s,cpu_usec,cpu_percent,mem_bytes,mem_mb
2026-07-02T09:51:55.741570+00:00,0,37074417,0.00,64000000,61.04
2026-07-02T09:52:05.742270+00:00,10,37292639,2.18,69267456,66.06
2026-07-02T09:52:15.743060+00:00,20,37468522,1.76,69136384,65.93
2026-07-02T09:52:25.743854+00:00,30,37591649,1.23,69419008,66.20
2026-07-02T09:52:35.744659+00:00,40,37767991,1.76,69292032,66.08
2026-07-02T09:52:45.745429+00:00,50,37960010,1.92,69742592,66.51
2026-07-02T09:52:55.746226+00:00,60,38148540,1.89,68440064,65.27
2026-07-02T09:53:05.746983+00:00,70,38346600,1.98,69242880,66.04
2026-07-02T09:53:15.747735+00:00,80,38528273,1.82,71688192,68.37
2026-07-02T09:53:25.748526+00:00,90,38658635,1.30,74899456,71.43
2026-07-02T09:53:35.749332+00:00,100,38839865,1.81,76038144,72.52
2026-07-02T09:53:45.750104+00:00,110,39026397,1.87,77107200,73.54
2026-07-02T09:53:55.750900+00:00,120,39224049,1.98,83005440,79.16
2026-07-02T09:54:05.751754+00:00,130,39426021,2.02,82862080,79.02
2026-07-02T09:54:15.752517+00:00,140,39608823,1.83,83124224,79.27
2026-07-02T09:54:25.753325+00:00,150,39740194,1.31,83001344,79.16
2026-07-02T09:54:35.754077+00:00,160,39921595,1.81,83333120,79.47
2026-07-02T09:54:45.754874+00:00,170,40102488,1.81,83017728,79.17
2026-07-02T09:54:55.755663+00:00,180,40283516,1.81,83525632,79.66
2026-07-02T09:55:05.756458+00:00,190,40472074,1.89,83779584,79.90
2026-07-02T09:55:15.757256+00:00,200,40652589,1.81,83480576,79.61
2026-07-02T09:55:25.758011+00:00,210,40788280,1.36,83513344,79.64
2026-07-02T09:55:35.758771+00:00,220,40943839,1.56,83464192,79.60
2026-07-02T09:55:45.759569+00:00,230,41125008,1.81,83738624,79.86
2026-07-02T09:55:55.760406+00:00,240,41306928,1.82,83914752,80.03
2026-07-02T09:56:05.761179+00:00,250,41494647,1.88,83992576,80.10
2026-07-02T09:56:15.761924+00:00,260,41683928,1.89,83791872,79.91
2026-07-02T09:56:25.762690+00:00,270,41814636,1.31,83673088,79.80
2026-07-02T09:56:35.763505+00:00,280,41992159,1.78,83558400,79.69
2026-07-02T09:56:45.764319+00:00,290,42173559,1.81,83750912,79.87
2026-07-02T09:56:55.765071+00:00,300,42354512,1.81,83873792,79.99
2026-07-02T09:57:05.765870+00:00,310,42549020,1.95,83820544,79.94
2026-07-02T09:57:15.766699+00:00,320,42732139,1.83,83898368,80.01
2026-07-02T09:57:25.767525+00:00,330,42861946,1.30,84070400,80.18
2026-07-02T09:57:35.768331+00:00,340,43035139,1.73,83877888,79.99
2026-07-02T09:57:45.769097+00:00,350,43210515,1.75,83767296,79.89
2026-07-02T09:57:55.769878+00:00,360,43386602,1.76,84901888,80.97
2026-07-02T09:58:05.770655+00:00,370,43577251,1.91,84586496,80.67
2026-07-02T09:58:15.771454+00:00,380,43758880,1.82,84516864,80.60
2026-07-02T09:58:25.772266+00:00,390,43885840,1.27,84303872,80.40
2026-07-02T09:58:35.773038+00:00,400,44065877,1.80,84611072,80.69
2026-07-02T09:58:45.773824+00:00,410,44251513,1.86,84619264,80.70
2026-07-02T09:58:55.774612+00:00,420,44420588,1.69,84295680,80.39
2026-07-02T09:59:05.775409+00:00,430,44624545,2.04,84418560,80.51
2026-07-02T09:59:15.776255+00:00,440,44796925,1.72,84664320,80.74
2026-07-02T09:59:25.777019+00:00,450,44919778,1.23,84381696,80.47
2026-07-02T09:59:35.777808+00:00,460,45089195,1.69,84574208,80.66
2026-07-02T09:59:45.778587+00:00,470,45266103,1.77,84467712,80.55
2026-07-02T09:59:55.779400+00:00,480,45444329,1.78,84959232,81.02
2026-07-02T10:00:05.780162+00:00,490,45615296,1.71,84922368,80.99
2026-07-02T10:00:15.780959+00:00,500,45791572,1.76,84402176,80.49
2026-07-02T10:00:25.781719+00:00,510,45911996,1.20,84570112,80.65
2026-07-02T10:00:35.782508+00:00,520,46095732,1.84,84996096,81.06
2026-07-02T10:00:45.783314+00:00,530,46281988,1.86,84303872,80.40
2026-07-02T10:00:55.784081+00:00,540,46404618,1.23,84742144,80.82
2026-07-02T10:01:05.784871+00:00,550,46652228,2.48,84594688,80.68
2026-07-02T10:01:15.785637+00:00,560,46827839,1.76,84692992,80.77
2026-07-02T10:01:25.786441+00:00,570,46951786,1.24,84406272,80.50
2026-07-02T10:01:35.787256+00:00,580,47134223,1.82,84815872,80.89
2026-07-02T10:01:45.788010+00:00,590,47303735,1.70,84828160,80.90
2026-07-02T10:01:55.788767+00:00,600,47430175,1.26,85782528,81.81
2026-07-02T10:02:05.789578+00:00,610,47676057,2.46,70451200,67.19
2026-07-02T10:02:15.790386+00:00,620,47863960,1.88,72916992,69.54
2026-07-02T10:02:25.791149+00:00,630,47995964,1.32,76492800,72.95
