ts,payload,day,hour,minute,month,source,year
2026-07-01 18:49:28.137-03,"{""Message"":{""UnknownMessage"":{}},""MessageType"":""UnknownMessage"",""MetaData"":{""MMSI"":992356231,""MMSI_String"":992356231,""ShipName"":"""",""latitude"":51.49573,""longitude"":0.04163,""time_utc"":""2026-07-01 21:49:26.593055299 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""UnknownMessage"":{}},""MessageType"":""UnknownMessage"",""MetaData"":{""MMSI"":226016380,""MMSI_String"":226016380,""ShipName"":""O'RANA"",""latitude"":49.4622,""longitude"":0.13243,""time_utc"":""2026-07-01 21:49:26.594348557 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""PositionReport"":{""Cog"":248.3,""CommunicationState"":84858,""Latitude"":49.14216666666667,""Longitude"":-123.86867000000001,""MessageID"":3,""NavigationalStatus"":5,""PositionAccuracy"":true,""Raim"":false,""RateOfTurn"":127,""RepeatIndicator"":0,""Sog"":0.1,""Spare"":0,""SpecialManoeuvreIndicator"":0,""Timestamp"":23,""TrueHeading"":106,""UserID"":316034963,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":316034963,""MMSI_String"":316034963,""ShipName"":""SEA IMP XI          "",""latitude"":49.14217,""longitude"":-123.86867,""time_utc"":""2026-07-01 21:49:26.598022212 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""PositionReport"":{""Cog"":8.7,""CommunicationState"":84074,""Latitude"":44.40008,""Longitude"":8.916755,""MessageID"":3,""NavigationalStatus"":5,""PositionAccuracy"":false,""Raim"":false,""RateOfTurn"":-128,""RepeatIndicator"":0,""Sog"":0,""Spare"":0,""SpecialManoeuvreIndicator"":0,""Timestamp"":25,""TrueHeading"":511,""UserID"":247338600,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":247338600,""MMSI_String"":247338600,""ShipName"":""TECNE"",""latitude"":44.40008,""longitude"":8.91676,""time_utc"":""2026-07-01 21:49:26.595321462 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""PositionReport"":{""Cog"":206,""CommunicationState"":82362,""Latitude"":51.88322166666667,""Longitude"":4.425685,""MessageID"":1,""NavigationalStatus"":0,""PositionAccuracy"":false,""Raim"":false,""RateOfTurn"":-128,""RepeatIndicator"":0,""Sog"":0.1,""Spare"":0,""SpecialManoeuvreIndicator"":1,""Timestamp"":25,""TrueHeading"":511,""UserID"":244630051,""Valid"":true}},""MessageType"":""PositionReport"",""MetaData"":{""MMSI"":244630051,""MMSI_String"":244630051,""ShipName"":""CLIMAX              "",""latitude"":51.88322,""longitude"":4.42568,""time_utc"":""2026-07-01 21:49:26.601665395 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""StaticDataReport"":{""MessageID"":24,""PartNumber"":false,""RepeatIndicator"":0,""ReportA"":{""Name"":""ARCHIBALD           "",""Valid"":true},""ReportB"":{""CallSign"":"""",""Dimension"":{""A"":0,""B"":0,""C"":0,""D"":0},""FixType"":0,""ShipType"":0,""Spare"":0,""Valid"":false,""VenderIDModel"":0,""VenderIDSerial"":0,""VendorIDName"":""""},""Reserved"":0,""UserID"":227428860,""Valid"":true}},""MessageType"":""StaticDataReport"",""MetaData"":{""MMSI"":227428860,""MMSI_String"":227428860,""ShipName"":""ARCHIBALD           "",""latitude"":43.58396,""longitude"":7.12811,""time_utc"":""2026-07-01 21:49:26.602640488 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""StaticDataReport"":{""MessageID"":24,""PartNumber"":true,""RepeatIndicator"":1,""ReportA"":{""Name"":"""",""Valid"":false},""ReportB"":{""CallSign"":"""",""Dimension"":{""A"":0,""B"":0,""C"":0,""D"":0},""FixType"":0,""ShipType"":30,""Spare"":0,""Valid"":true,""VenderIDModel"":0,""VenderIDSerial"":8192,""VendorIDName"":""OVA""},""Reserved"":0,""UserID"":416001051,""Valid"":true}},""MessageType"":""StaticDataReport"",""MetaData"":{""MMSI"":416001051,""MMSI_String"":416001051,""ShipName"":"""",""latitude"":25.35026,""longitude"":121.78643,""time_utc"":""2026-07-01 21:49:26.606784704 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""UnknownMessage"":{}},""MessageType"":""UnknownMessage"",""MetaData"":{""MMSI"":992356231,""MMSI_String"":992356231,""ShipName"":"""",""latitude"":51.49573,""longitude"":0.04163,""time_utc"":""2026-07-01 21:49:26.605656437 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""StandardClassBPositionReport"":{""AssignedMode"":false,""ClassBBand"":true,""ClassBDisplay"":false,""ClassBDsc"":true,""ClassBMsg22"":true,""ClassBUnit"":true,""Cog"":224.4,""CommunicationState"":393222,""CommunicationStateIsItdma"":true,""Latitude"":52.20277,""Longitude"":4.645716666666667,""MessageID"":18,""PositionAccuracy"":true,""Raim"":true,""RepeatIndicator"":0,""Sog"":0,""Spare1"":0,""Spare2"":0,""Timestamp"":26,""TrueHeading"":511,""UserID"":244063556,""Valid"":true}},""MessageType"":""StandardClassBPositionReport"",""MetaData"":{""MMSI"":244063556,""MMSI_String"":244063556,""ShipName"":""PURA VIDA"",""latitude"":52.20277,""longitude"":4.64572,""time_utc"":""2026-07-01 21:49:26.615990094 +0000 UTC""}}",01,21,49,07,aisstream,2026
2026-07-01 18:49:28.137-03,"{""Message"":{""ShipStaticData"":{""AisVersion"":1,""CallSign"":""OYBQ   "",""Destination"":"""",""Dimension"":{""A"":6,""B"":7,""C"":2,""D"":3},""Dte"":false,""Eta"":{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0},""FixType"":15,""ImoNumber"":0,""MaximumStaticDraught"":0,""MessageID"":5,""Name"":""AURELIA             "",""RepeatIndicator"":0,""Spare"":false,""Type"":30,""UserID"":219005904,""Valid"":true}},""MessageType"":""ShipStaticData"",""MetaData"":{""MMSI"":219005904,""MMSI_String"":219005904,""ShipName"":""AURELIA             "",""latitude"":56.04178,""longitude"":12.61311,""time_utc"":""2026-07-01 21:49:26.637593225 +0000 UTC""}}",01,21,49,07,aisstream,2026
